time,inflow,outflow,netflow
2022-12-02,488466490.5958554,557566397.3894258,-69099906.79357034
2022-12-03,341597118.296496,504976738.96247345,-163379620.66597748
2022-12-04,2331827051.2831554,2507369961.1840534,-175542909.90089798
2022-12-05,2066391378.0694358,1827975896.9078224,238415481.16161346
2022-12-06,1491379385.7992077,1536561493.960277,-45182108.16106939
2022-12-07,1331737761.614136,1326019645.9475996,5718115.666536331
2022-12-08,1191946003.2513852,1267117362.7341502,-75171359.48276496
2022-12-09,476801875.3464639,448973647.200347,27828228.146116912
2022-12-10,377188548.15157676,452278550.47621053,-75090002.32463378
2022-12-11,1850701714.8113034,2541241909.86515,-690540195.0538466
2022-12-12,9811070356.850334,9196118025.795835,614952331.0544987
2022-12-13,1790805929.6542459,2404745806.772748,-613939877.1185021
2022-12-14,1684524241.8602242,1836237632.8981462,-151713391.0379219
2022-12-15,7173639013.55043,7786067776.711022,-612428763.1605921
2022-12-16,655144200.4819729,899917149.5853984,-244772949.1034255
2022-12-17,464766240.4510187,421328985.602468,43437254.84855068
2022-12-18,2961988681.92672,3139347651.0528297,-177358969.1261096
2022-12-19,1564229562.781733,1969034695.6455162,-404805132.8637831
2022-12-20,1446607799.7140305,1449352638.6616712,-2744838.9476406574
2022-12-21,1236108368.1126986,1408172037.7945433,-172063669.6818447
2022-12-22,1488925108.6492586,2104765926.8406038,-615840818.1913452
2022-12-23,471604953.1059712,477218459.9577699,-5613506.851798654
2022-12-24,673930556.2170607,845379210.2778336,-171448654.0607729
2022-12-25,1301436576.7917051,1317331545.2709975,-15894968.479292393
2022-12-26,1887780316.3587227,1836208144.4869175,51572171.87180519
2022-12-27,2573090365.3599973,2651305558.6302266,-78215193.27022934
2022-12-28,4645289668.863164,4686448680.824848,-41159011.96168423
2022-12-29,2390455769.3482294,2221451434.0441594,169004335.30407
2022-12-30,528167505.0043239,919108703.6343286,-390941198.6300047
2022-12-31,444824212.8336444,406550867.19911927,38273345.63452512
2023-01-01,568906744.4955797,557510800.6214498,11395943.874129891
2023-01-02,2998568298.7587423,2938244109.269876,60324189.48886633
2023-01-03,3764170378.5485244,3842009641.109599,-77839262.56107473
2023-01-04,3455227415.9322414,2850194022.318836,605033393.6134052
2023-01-05,2218585984.703868,2569692437.8040338,-351106453.10016584
2023-01-06,632229729.7621375,607614865.5700481,24614864.19208944
2023-01-07,554251966.165986,621789216.4562843,-67537250.29029834
2023-01-08,7691553597.765709,7791907767.74009,-100354169.97438145
