Date,Bitcoin,Ethereum,Total
2019-04-16,523635.0,169691.0,94376.0
2019-04-17,510231.0,177685.0,90717.0
2019-04-18,486201.0,189548.0,93539.0
2019-04-19,508434.0,206039.0,98309.0
2019-04-20,485454.0,268624.0,92939.0
2019-04-21,490645.0,203560.0,101402.0
2019-04-22,414039.0,199611.0,110908.0
2019-04-23,447077.0,216799.0,106004.0
2019-04-24,596466.0,198144.0,100720.0
2019-04-25,483003.0,188601.0,103691.0
2019-04-26,503165.0,179758.0,100732.0
2019-04-27,393918.0,155183.0,99092.0
2019-04-28,375285.0,156116.0,97888.0
2019-04-29,513162.0,170292.0,114189.0
2019-04-30,560456.0,193791.0,111098.0
2019-05-01,499316.0,197948.0,105695.0
2019-05-02,528429.0,160226.0,92381.0
2019-05-03,530227.0,173950.0,101444.0
2019-05-04,430298.0,159030.0,93975.0
2019-05-05,401043.0,165398.0,106449.0
2019-05-06,513178.0,177925.0,106224.0
2019-05-07,483302.0,174388.0,103104.0
2019-05-08,558856.0,178832.0,97612.0
2019-05-09,527697.0,188134.0,91629.0
2019-05-10,469968.0,194604.0,94060.0
2019-05-11,502537.0,195574.0,85361.0
2019-05-12,563749.0,188348.0,85442.0
2019-05-13,575205.0,212923.0,86297.0
2019-05-14,569810.0,237448.0,105334.0
2019-05-15,530826.0,245481.0,120949.0
2019-05-16,536954.0,260888.0,134535.0
2019-05-17,580802.0,231001.0,90425.0
2019-05-18,574310.0,211146.0,87133.0
2019-05-19,492705.0,206413.0,88499.0
2019-05-20,531048.0,224167.0,90605.0
2019-05-21,578974.0,237349.0,89337.0
2019-05-22,575021.0,220270.0,84386.0
2019-05-23,535428.0,226386.0,85353.0
2019-05-24,568360.0,234066.0,84943.0
2019-05-25,468083.0,216521.0,93334.0
2019-05-26,431813.0,212859.0,100878.0
2019-05-27,566842.0,253642.0,95662.0
2019-05-28,622509.0,239531.0,90840.0
2019-05-29,580472.0,244835.0,84755.0
2019-05-30,550488.0,243148.0,79545.0
2019-05-31,451163.0,264306.0,79293.0
2019-06-01,573051.0,336386.0,72178.0
2019-06-02,452729.0,257180.0,80228.0
2019-06-03,456738.0,236159.0,87290.0
2019-06-04,570243.0,246392.0,86080.0
2019-06-05,583814.0,219601.0,84877.0
2019-06-06,537417.0,285666.0,83807.0
2019-06-07,581243.0,196711.0,82601.0
