"Date","BTC Market Cap","ETH Market Cap","Top 10 (Without BTC & ETH)","Others"
"2019-05-17","139525363820.16046","27977152978.337208","48651159443.604262","26086393339.01807"
"2019-05-18","130123159718.19748","25882741084.84837","45599814432.68267","24645390068.43848"
"2019-05-19","129270047519.99455","24992104363.05817","44968006311.73064","24342830991.31164"
"2019-05-20","144597541605.24557","27696392705.66153","49411756673.54910","26400146188.8948"
"2019-05-21","141109768386.16797","26710731424.55328","47738906652.46732","25455251328.98243"
"2019-05-22","141016653223.21735","27208222408.161823","48374268938.688827","26861297747.855"
"2019-05-23","135913068220.78972","25986179169.035725","45835287747.937925","26908794289.12363"
"2019-05-24","139495233992.3291","26015066752.046535","46531380885.745365","27621290817.412"
"2019-05-25","141356836449.39377","26403380130.094868","48141901762.344062","28160895604.0683"
"2019-05-26","142301375408.95212","26638407046.872597","48461721636.387353","27862815836.14193"
"2019-05-27","152778982387.80127","28248518480.178585","51013351248.130045","29548082339.3881"
"2019-05-28","156351517828.83902","29061104048.029087","54923615050.983363","29905877436.18453"
"2019-05-29","154706420284.54605","28849462681.914993","54716068687.881697","26521620832.53826"
"2019-05-30","153190671229.78632","28545915354.884007","55891411679.729453","30590780313.53622"
"2019-05-31","147528939419.42154","27163085813.469257","52822242483.030003","29984315134.5472"
"2019-06-01","152037344606.20877","28499454382.30483","56177675521.04652","30738981683.06188"
"2019-06-02","151754429106.1446","28173804952.878986","54383351588.559754","30669862600.85166"
"2019-06-03","155008799790.32507","28695353819.42512","55728859545.84241","31652708338.7404"
"2019-06-04","145118113641.65356","26744262117.273018","52453606516.632752","29704016117.22467"
"2019-06-05","136045887609.96283","25505094563.584915","49569289742.908675","28238435808.13458"
"2019-06-06","138590833268.1022","26217390413.075325","50561876102.760555","28954338189.99792"
"2019-06-07","138816674700.54028","26581663259.716743","51692992554.833127","29086641639.73885"
"2019-06-08","142810130543.30536","26701545587.49556","52726966508.10258","30143741544.0255"
"2019-06-09","140990840427.82074","26034305601.98276","51591015488.68496","29985654924.28854"
"2019-06-10","136055336062.27316","24672828577.74306","49126627316.08150","28773711484.35928"
"2019-06-11","141925422733.43433","26297325019.25777","51780391465.44630","30309008090.8386"
"2019-06-12","140220553937.84616","26090193634.664776","51673952990.943594","29993450344.00947"
"2019-06-13","144409895371.7695","27568882097.168007","52902897859.183593","30747135567.5379"
"2019-06-14","145982200973.5864","27144233034.692554","53192715555.138746","30961284933.0523"
"2019-06-15","154448670610.87314","28177766390.07106","53472793782.48466","31094431597.08914"
"2019-06-16","156571955413.46933","28555069614.98048","54320239097.74544","31234439958.49275"
"2019-06-17","159990740760.34872","28730739929.02647","55457079859.28161","32442560507.1002"
"2019-06-18","165478791606.02725","29075955330.534096","56638652377.310204","33035293832.81545"
"2019-06-19","161689176435.31613","28216787936.482452","55145488873.163548","32156505823.40087"
"2019-06-20","164856060873.05832","28662304286.474934","56948419789.721906","32941434096.92884"
"2019-06-21","169961289184.54773","29062957235.75888","56805728929.28759","32568500245.3038"
"2019-06-22","179686819951.0701","31419443062.588604","58503902914.163996","32752968540.5743"
"2019-06-23","190271555704.10333","33084459417.56612","61618819901.94652","34521811331.08603"
"2019-06-24","193006026351.06372","32863219243.396492","60603972495.630428","34311336432.85736"
"2019-06-25","196224565118.84543","33154422291.905163","60677871778.675007","34421934337.4104"
"2019-06-26","209906767119.21564","33909642984.874393","60380973938.415827","35423344688.73314"
"2019-06-27","231104555834.96542","36033928259.050896","59281461824.656384","34713288304.2763"
"2019-06-28","198805331511.7231","31578278682.118446","52782188157.148854","31402158712.6136"
"2019-06-29","219700496726.02618","33044592666.437965","54614897287.051605","33282814258.25325"
"2019-06-30","213020899675.1298","34306768610.59132","56390205405.19764","34482361644.32124"
"2019-07-01","193705059813.9276","31176379854.59102","51749140643.27208","31702343581.2003"
"2019-07-02","189075622551.36316","31498970007.217487","53116159863.174553","32054114501.8208"
"2019-07-03","191741802293.97986","30959350149.490692","51790980657.825318","31502005336.49313"
"2019-07-04","213139916541.64767","32463482348.950417","53188911570.678413","32531636082.8235"
"2019-07-05","199869428146.8407","30439535096.682316","51444745565.810724","31572047639.78626"
"2019-07-06","195514947598.0145","30740130568.29118","50695711264.52442","31741005804.2609"
"2019-07-07","200989208002.57162","30937887121.98499","51605900556.16029","31986621950.6381"
"2019-07-08","203441013269.87305","32585483973.188705","52114211989.530105","32498643927.78114"
"2019-07-09","217909027168.13293","33325496553.950596","52787811516.200474","32631860098.161"
"2019-07-10","223082925042.62775","32850299631.681156","51981894063.917964","32176927270.85613"
"2019-07-11","216918064309.90915","30956973577.480614","48436067210.875496","30633102007.74974"
"2019-07-12","202244103401.21423","28636795382.556053","44089621877.606217","28181548287.7225"
"2019-07-13","210058300503.64526","29477046976.610035","45761720142.813705","29699545217.852"
"2019-07-14","202979011731.3034","28810921295.770554","44428789885.162196","28653322430.87385"
"2019-07-15","183265698057.30487","24246464997.184734","39530387810.068596","25674739014.0018"
"2019-07-16","195225460386.1362","24761194859.108467","40804420186.084933","26168148392.3854"
"2019-07-17","170100385848.08353","21404242629.096542","37342577940.683848","22992866130.00808"
"2019-07-18","172236725014.4112","22555777896.46238","39290896282.94045","23878752777.05697"
