Date,BNB Chain,Tron,Bitcoin,Solana,Ethereum,Polygon,Ronin,Aptos,Celo,TON
2023-12-30,3807067.00,1425988.00,511334.00,336098.00,368343.00,499376.00,285913.00,77942.00,197420.00,33114.00
2023-12-31,2704807.00,1431219.00,517296.00,316942.00,350337.00,508621.00,284257.00,78746.00,219435.00,29177.00
2024-01-01,2002317.00,1308013.00,564117.00,308359.00,413568.00,481583.00,298359.00,70171.00,181930.00,15878.00
2024-01-02,2152907.00,1514173.00,568356.00,384735.00,383353.00,501352.00,348073.00,47719.00,169042.00,27176.00
2024-01-03,2220140.00,1584994.00,630782.00,372552.00,341860.00,519452.00,414585.00,66500.00,161774.00,27265.00
2024-01-04,2660650.00,1505661.00,683139.00,364308.00,348298.00,562213.00,428611.00,66452.00,178413.00,32274.00
2024-01-05,2184020.00,1516488.00,489645.00,335059.00,341721.00,565544.00,456885.00,87187.00,173468.00,27078.00
2024-01-06,2032661.00,1352995.00,515737.00,308653.00,325173.00,572452.00,488817.00,68972.00,173671.00,21139.00
2024-01-07,2161559.00,1285921.00,442516.00,308517.00,398135.00,570802.00,498841.00,63358.00,162946.00,24676.00
2024-01-08,2463873.00,1504722.00,451865.00,320343.00,361136.00,596327.00,518741.00,66859.00,147899.00,23739.00
2024-01-09,2899089.00,1506387.00,597722.00,364007.00,366943.00,643529.00,543046.00,68065.00,177375.00,26158.00
2024-01-10,2869577.00,1553456.00,537347.00,311692.00,502028.00,623273.00,537178.00,78628.00,151612.00,28444.00
2024-01-11,2749176.00,1591158.00,648804.00,341489.00,454045.00,675595.00,482411.00,103827.00,127170.00,78439.00
2024-01-12,2750780.00,1522737.00,696865.00,321077.00,442578.00,624215.00,501698.00,91226.00,126730.00,86858.00
2024-01-13,2982359.00,1460576.00,522430.00,302943.00,347724.00,540888.00,576843.00,89518.00,128236.00,23535.00
2024-01-14,2654299.00,1365446.00,456740.00,317084.00,267211.00,491790.00,589103.00,78541.00,147985.00,22972.00
2024-01-15,3036476.00,1540854.00,498970.00,339352.00,345192.00,542750.00,530365.00,81753.00,137124.00,23847.00
2024-01-16,3107991.00,1539643.00,505452.00,431485.00,327146.00,529479.00,604000.00,77770.00,120875.00,27854.00
2024-01-17,2608498.00,1490911.00,513859.00,381238.00,335040.00,515727.00,612717.00,72425.00,137116.00,27985.00
2024-01-18,2334406.00,1521701.00,602106.00,390527.00,357736.00,537106.00,554743.00,65320.00,123442.00,30444.00
2024-01-19,2740453.00,1578884.00,503773.00,362635.00,379796.00,492238.00,657393.00,45088.00,123467.00,23720.00
2024-01-20,2631778.00,1455774.00,533418.00,381409.00,355549.00,505297.00,638078.00,42429.00,116055.00,22994.00
2024-01-21,2737488.00,1410598.00,497659.00,360569.00,376855.00,514205.00,649162.00,62976.00,95676.00,20337.00
2024-01-22,2908663.00,1608876.00,689654.00,360930.00,344950.00,568165.00,667816.00,65905.00,121137.00,20587.00
2024-01-23,2740718.00,1518182.00,598312.00,360174.00,360055.00,577769.00,671541.00,126116.00,114332.00,20370.00
2024-01-24,2872976.00,1551274.00,629358.00,360503.00,356152.00,590404.00,683249.00,179913.00,122561.00,30145.00
2024-01-25,2871178.00,1583939.00,843495.00,390989.00,408577.00,617016.00,691781.00,106807.00,111935.00,30896.00
2024-01-26,2735944.00,1449666.00,598035.00,753271.00,412736.00,659034.00,674352.00,88545.00,116520.00,24557.00
2024-01-27,2757128.00,1378842.00,707442.00,629622.00,444872.00,615775.00,682976.00,91090.00,105808.00,27216.00
2024-01-28,2567449.00,1275300.00,598462.00,547406.00,414584.00,633688.00,650601.00,144317.00,81546.00,28739.00
2024-01-29,2610117.00,1423089.00,681660.00,616840.00,393315.00,646963.00,662056.00,106047.00,80598.00,28255.00
2024-01-30,2700354.00,1441134.00,603912.00,524082.00,411914.00,643320.00,641829.00,114583.00,108764.00,44722.00
2024-01-31,2637827.00,1295168.00,580698.00,882534.00,378001.00,637896.00,620280.00,128999.00,122410.00,42874.00
2024-02-01,2654482.00,1175304.00,634504.00,611997.00,371748.00,621209.00,656247.00,125587.00,109304.00,38486.00
2024-02-02,2712567.00,1277810.00,608813.00,554951.00,381619.00,601184.00,651789.00,137679.00,121219.00,33115.00
2024-02-03,2595819.00,1077483.00,554318.00,433425.00,360422.00,622394.00,639448.00,127724.00,115566.00,33015.00
2024-02-04,2533822.00,1183627.00,558812.00,427238.00,378876.00,616361.00,658280.00,136219.00,122334.00,35310.00
2024-02-05,2629378.00,1437389.00,579876.00,429866.00,410668.00,660200.00,667277.00,174122.00,113978.00,35783.00
2024-02-06,2757065.00,1384703.00,581596.00,365892.00,366689.00,671081.00,664264.00,155740.00,104932.00,35738.00
2024-02-07,2670320.00,1382353.00,643963.00,477193.00,369554.00,667746.00,644128.00,115356.00,85316.00,38119.00
2024-02-08,2667672.00,1316947.00,538085.00,467432.00,328229.00,665368.00,662804.00,98425.00,76245.00,49236.00
2024-02-09,2515599.00,1212712.00,678352.00,422557.00,365488.00,677883.00,613566.00,79981.00,78301.00,35205.00
2024-02-10,2402254.00,1105607.00,683571.00,387166.00,346356.00,673753.00,614382.00,73456.00,84747.00,32627.00
2024-02-11,2335438.00,1093558.00,573394.00,364142.00,352940.00,626182.00,626531.00,47722.00,84280.00,29501.00
2024-02-12,2327949.00,1264483.00,706274.00,390490.00,322980.00,646032.00,619916.00,61700.00,82095.00,31362.00
2024-02-13,2499897.00,1326570.00,583926.00,429556.00,393389.00,697133.00,621542.00,77262.00,81721.00,31199.00
2024-02-14,2615801.00,1301588.00,477842.00,444111.00,413332.00,775913.00,607939.00,73312.00,77450.00,37169.00
2024-02-15,2533461.00,1393399.00,584200.00,484931.00,398258.00,784856.00,625462.00,86374.00,77833.00,37638.00
2024-02-16,2655781.00,1351270.00,545207.00,429777.00,401155.00,765052.00,652978.00,36066.00,76152.00,35590.00
2024-02-17,2592438.00,1301853.00,583216.00,386306.00,367989.00,793310.00,655112.00,43127.00,76359.00,28718.00
2024-02-18,2898095.00,1299586.00,495288.00,370767.00,363897.00,821723.00,701492.00,43560.00,79310.00,27918.00
2024-02-19,2824764.00,1533921.00,602112.00,445710.00,391419.00,867074.00,901300.00,81053.00,79154.00,34333.00
2024-02-20,3062797.00,1509571.00,586812.00,394369.00,390590.00,833339.00,850841.00,53136.00,79327.00,33110.00
2024-02-21,3077072.00,1506116.00,518812.00,405390.00,361376.00,861347.00,831189.00,64698.00,77059.00,40819.00
2024-02-22,3531627.00,1609308.00,540895.00,446430.00,346131.00,939048.00,791486.00,43905.00,75436.00,45875.00
2024-02-23,3123781.00,1494960.00,651543.00,373666.00,388529.00,963184.00,772841.00,92000.00,76088.00,45184.00
2024-02-24,2545168.00,1353728.00,547234.00,340194.00,384554.00,1002985.00,755323.00,112259.00,79656.00,49867.00
2024-02-25,2561194.00,1363171.00,626249.00,353111.00,397864.00,1065578.00,775281.00,95715.00,77905.00,51782.00
2024-02-26,2702176.00,1602096.00,557343.00,431934.00,416230.00,1017247.00,797177.00,96853.00,79586.00,53177.00
2024-02-27,2931175.00,1626461.00,535590.00,470262.00,425047.00,1038413.00,819546.00,98984.00,81389.00,48848.00
2024-02-28,3076616.00,1765471.00,615511.00,460907.00,427678.00,1069411.00,805023.00,113186.00,73699.00,56470.00
2024-02-29,2839671.00,1777794.00,565830.00,550776.00,413578.00,1152056.00,812399.00,120546.00,71129.00,60237.00
2024-03-01,2629249.00,1868125.00,640013.00,520387.00,419179.00,1139079.00,794513.00,114190.00,64748.00,37886.00
2024-03-02,2696019.00,1712814.00,502389.00,488413.00,419896.00,1155975.00,798369.00,107073.00,67102.00,69227.00
2024-03-03,2754268.00,1863759.00,533107.00,546230.00,416642.00,1074735.00,845530.00,107608.00,66949.00,33513.00
2024-03-04,3184109.00,1864186.00,518634.00,579520.00,411245.00,1114718.00,738160.00,110508.00,67881.00,57812.00
2024-03-05,4128853.00,1897332.00,732475.00,631355.00,425328.00,1007558.00,874445.00,111780.00,77484.00,54733.00
2024-03-06,4411023.00,2185536.00,550123.00,693936.00,401166.00,1117451.00,872220.00,109169.00,82234.00,39841.00
2024-03-07,4386137.00,1833983.00,670882.00,799242.00,421132.00,1154284.00,822754.00,108581.00,85740.00,48094.00
2024-03-08,4565642.00,1759929.00,582106.00,716622.00,411178.00,1130389.00,922788.00,112072.00,79976.00,59149.00
2024-03-09,4732677.00,1732764.00,603589.00,716609.00,399101.00,1071483.00,1002666.00,137480.00,84100.00,54639.00
2024-03-10,4334313.00,1609946.00,548634.00,754693.00,375364.00,1076317.00,1011374.00,163123.00,84390.00,43972.00
2024-03-11,4563413.00,1842335.00,773854.00,756926.00,432109.00,1094993.00,854966.00,113355.00,84860.00,45710.00
2024-03-12,3784241.00,1744956.00,677644.00,749434.00,419952.00,1178639.00,812424.00,135301.00,75071.00,68034.00
2024-03-13,3513540.00,1613152.00,751813.00,716043.00,443189.00,1148127.00,827713.00,149701.00,67026.00,103428.00
2024-03-14,4935946.00,1810271.00,635166.00,825252.00,453839.00,1062775.00,1241054.00,202913.00,59356.00,157967.00
2024-03-15,4448390.00,1767091.00,510598.00,899225.00,486708.00,1110532.00,1087422.00,140581.00,63740.00,186470.00
2024-03-16,4162870.00,1552170.00,608249.00,1441951.00,498513.00,1212499.00,1102170.00,181708.00,61534.00,173709.00
2024-03-17,4254178.00,1708992.00,573447.00,2059313.00,458845.00,916924.00,1118149.00,183059.00,63889.00,126930.00
2024-03-18,4262722.00,1814543.00,564207.00,1473085.00,475037.00,1028129.00,1166525.00,153010.00,74955.00,123253.00
2024-03-19,4700415.00,1815679.00,649752.00,1101934.00,508754.00,933031.00,1185585.00,159595.00,83332.00,122468.00
2024-03-20,4667084.00,1845203.00,626407.00,890595.00,540905.00,961110.00,1138312.00,175855.00,78515.00,150651.00
2024-03-21,4413960.00,1713473.00,480762.00,938050.00,505169.00,1041984.00,1125879.00,272785.00,81839.00,152517.00
2024-03-22,4379464.00,1691936.00,550270.00,884959.00,530545.00,1067360.00,1120430.00,241774.00,76508.00,171804.00
2024-03-23,3722882.00,1529335.00,601958.00,873876.00,533671.00,974574.00,1113298.00,184437.00,71943.00,167407.00
2024-03-24,3988212.00,1492736.00,638941.00,946985.00,490564.00,966184.00,1116598.00,247400.00,83324.00,164543.00
2024-03-25,4259685.00,1689136.00,565075.00,1099380.00,487363.00,1013305.00,1145786.00,187125.00,83584.00,193389.00
2024-03-26,4348308.00,1735941.00,504499.00,1167019.00,450204.00,1084813.00,1147498.00,150260.00,83848.00,199972.00
2024-03-27,4323554.00,1709928.00,521351.00,1120375.00,430486.00,1041099.00,1145763.00,139955.00,75802.00,209408.00
2024-03-28,4650444.00,1691041.00,595768.00,1241468.00,447209.00,1146799.00,1144550.00,134978.00,68489.00,209222.00
2024-03-29,4289191.00,1589734.00,510906.00,1243802.00,480330.00,1130683.00,1167242.00,148726.00,66754.00,224960.00
2024-03-30,4171093.00,1498739.00,541407.00,1202197.00,472852.00,1074787.00,1176297.00,88872.00,64122.00,235865.00
2024-03-31,4488021.00,1528585.00,394073.00,1058809.00,465914.00,1118707.00,1186346.00,99012.00,72038.00,368670.00
2024-04-01,4627935.00,1719275.00,609904.00,1027446.00,455201.00,1025632.00,1181912.00,166323.00,67693.00,326426.00
2024-04-02,4141108.00,1665831.00,599586.00,1018774.00,413209.00,945403.00,1172449.00,170316.00,71811.00,152367.00
2024-04-03,4227526.00,1676220.00,577164.00,1021726.00,399254.00,971949.00,1191249.00,165134.00,76348.00,141052.00
2024-04-04,4283595.00,1662344.00,641552.00,982759.00,428674.00,979451.00,1159055.00,134207.00,78987.00,128142.00
2024-04-05,4216312.00,1650444.00,635006.00,814562.00,451903.00,1080861.00,1226336.00,132894.00,78142.00,163943.00
2024-04-06,4111445.00,1458989.00,594697.00,892778.00,461212.00,1248495.00,1227958.00,125889.00,77804.00,132301.00
2024-04-07,4161050.00,1562782.00,555622.00,783528.00,434288.00,1148991.00,1258239.00,130031.00,72308.00,133696.00
2024-04-08,4329597.00,1663526.00,552055.00,920874.00,435862.00,1191555.00,1272448.00,117939.00,73570.00,183093.00
2024-04-09,4239095.00,1660081.00,549933.00,949018.00,441260.00,1191281.00,1284743.00,107294.00,60301.00,171056.00
2024-04-10,4234622.00,1615331.00,490131.00,958044.00,417461.00,1131191.00,1313102.00,99225.00,52303.00,215871.00
2024-04-11,4274002.00,1491967.00,402580.00,958849.00,431686.00,1267258.00,1195202.00,96390.00,62179.00,215179.00
2024-04-12,3748318.00,1681109.00,465820.00,975974.00,486013.00,1066778.00,1152110.00,113171.00,54071.00,202061.00
2024-04-13,4166251.00,1619352.00,514131.00,855622.00,399757.00,1073102.00,987152.00,119238.00,53933.00,150724.00
2024-04-14,4056668.00,1526590.00,499398.00,797834.00,402648.00,1075208.00,463251.00,131671.00,56414.00,146077.00
2024-04-15,3672168.00,1878677.00,475331.00,937461.00,424241.00,995176.00,1120075.00,129468.00,59160.00,159722.00
2024-04-16,3664832.00,1992164.00,572316.00,1014267.00,438931.00,1035262.00,1261482.00,118544.00,57445.00,186860.00
2024-04-17,3634927.00,1936825.00,440036.00,928560.00,471521.00,1088462.00,1257411.00,113677.00,63800.00,157863.00
2024-04-18,3633033.00,1984099.00,480074.00,983947.00,457435.00,1052008.00,1267984.00,113897.00,96999.00,147357.00
2024-04-19,3641063.00,2097550.00,477048.00,824596.00,432817.00,1052872.00,961707.00,105016.00,110120.00,163848.00
2024-04-20,3591898.00,1934100.00,269856.00,858567.00,439353.00,1252481.00,1191395.00,105350.00,161360.00,153565.00
2024-04-21,3618216.00,1865793.00,312812.00,699210.00,419762.00,1089160.00,832300.00,103781.00,166968.00,145916.00
2024-04-22,3733488.00,2099641.00,390840.00,838804.00,403298.00,1143081.00,1290079.00,116102.00,174651.00,160416.00
2024-04-23,3747071.00,2063114.00,296125.00,906748.00,405343.00,1181655.00,1290307.00,113345.00,190173.00,183310.00
2024-04-24,3762142.00,2182571.00,469539.00,855696.00,376898.00,1042157.00,1364900.00,119815.00,273361.00,157318.00
2024-04-25,3666773.00,2047730.00,435224.00,868102.00,405067.00,1012081.00,1305586.00,85052.00,293118.00,148698.00
2024-04-26,3625822.00,2005262.00,439477.00,785620.00,426931.00,1097844.00,1365435.00,77758.00,310904.00,156624.00
2024-04-27,3556438.00,1871183.00,456701.00,737547.00,408514.00,1100489.00,1209800.00,69473.00,313232.00,173001.00
2024-04-28,3595799.00,1752976.00,450905.00,710037.00,416023.00,1181922.00,1320758.00,71090.00,331271.00,182922.00
2024-04-29,3794123.00,1918595.00,500212.00,767493.00,467126.00,1223395.00,1279981.00,73673.00,350308.00,187386.00
2024-04-30,3603262.00,2117240.00,484145.00,860726.00,475669.00,1338543.00,1339569.00,78980.00,376369.00,206932.00
2024-05-01,3420974.00,2045121.00,461708.00,777161.00,442969.00,1214917.00,1193702.00,69811.00,369302.00,198639.00
2024-05-02,3525884.00,2019074.00,471920.00,796467.00,453695.00,1183792.00,1304271.00,66180.00,374743.00,161715.00
2024-05-03,3366226.00,2211642.00,435928.00,830405.00,424875.00,1201136.00,1252986.00,65222.00,375430.00,173080.00
2024-05-04,3423258.00,1785591.00,364692.00,858526.00,436791.00,1129828.00,1316788.00,48732.00,371868.00,186877.00
2024-05-05,3362037.00,1781075.00,366006.00,896964.00,448391.00,1147993.00,1308383.00,35283.00,373713.00,178039.00
2024-05-06,3527914.00,2840050.00,402630.00,873251.00,440656.00,1147917.00,1357520.00,83423.00,377070.00,170773.00
2024-05-07,3548967.00,2038983.00,450083.00,882749.00,441223.00,1185397.00,1436803.00,121879.00,375388.00,235649.00
2024-05-08,3424021.00,2079346.00,446401.00,843258.00,425383.00,1141358.00,1449727.00,87620.00,374311.00,205822.00
2024-05-09,3517561.00,2076440.00,430860.00,837475.00,414410.00,1231371.00,1488602.00,77374.00,378879.00,267930.00
2024-05-10,3399804.00,2382146.00,345374.00,859593.00,434606.00,1140457.00,1526717.00,64832.00,379012.00,271480.00
2024-05-11,3337812.00,2047447.00,377994.00,735639.00,421957.00,1144208.00,1460087.00,58219.00,375265.00,314478.00
2024-05-12,3401756.00,1908404.00,364795.00,744825.00,394113.00,1199664.00,1556655.00,56496.00,373500.00,332055.00
2024-05-13,3531808.00,2188022.00,489803.00,854287.00,387352.00,1258031.00,1570228.00,66403.00,374769.00,358149.00
2024-05-14,3503040.00,2204980.00,454901.00,832989.00,390242.00,1178140.00,1479672.00,120537.00,377491.00,313615.00
2024-05-15,3328935.00,2248976.00,462137.00,871717.00,393004.00,1199699.00,1266457.00,74716.00,377709.00,238836.00
2024-05-16,3399411.00,2129161.00,437732.00,837437.00,398979.00,1216644.00,1252961.00,97887.00,374826.00,375186.00
2024-05-17,3293751.00,2227211.00,479083.00,942257.00,390883.00,1101853.00,1273429.00,105005.00,377347.00,561644.00
2024-05-18,3631080.00,2012402.00,405906.00,775595.00,434446.00,1137592.00,1273042.00,113949.00,376935.00,560100.00
2024-05-19,3728043.00,2004958.00,434811.00,720261.00,374849.00,995004.00,1256994.00,95679.00,374567.00,511961.00
2024-05-20,3852549.00,2210896.00,453098.00,830836.00,374562.00,1278155.00,1313138.00,112192.00,376247.00,413059.00
